Ruangan
YOLO;07.00;18.00;1,2,3,4,5
QWERTY;07.00;18.00;1,3

Jadwal
IF1111;-;07.00;10.00;3;1,3,4
IF2222;-;10.00;14.00;4;1,2,4
IF3333;-;14.00;15.00;1;1,5
IF4444;-;15.00;17.00;2;1,2
IF5555;-;17.00;18.00;1;1,2,4
IF1111;-;07.00;12.00;5;2,1,3,4
IF5555;-;12.00;16.00;4;2,1,3
IF6666;-;16.00;18.00;2;2,1,3,4
IF7777;-;07.00;09.00;2;3,1
IF2222;-;09.00;10.00;1;3
IF3333;-;10.00;11.00;1;3,2
IF2222;-;11.00;12.00;1;3,1
IF4444;-;12.00;14.00;2;3,5
IF2222;-;14.00;15.00;1;3,4,5
IF9999;-;15.00;18.00;3;3,5
IF7777;-;07.00;11.00;4;4,1,2,3
IF6666;-;11.00;15.00;4;4,1,2,3
IF3333;-;15.00;18.00;3;4,1,2,3
IF3333;-;07.00;12.00;5;5,1,2,3
IF4444;-;12.00;14.00;2;5,1,2,3
IF3333;-;14.00;15.00;1;5,1,2,3
IF0000;-;15.00;17.00;2;5,1,2,3
IF3333;-;17.00;18.00;1;5,1,2,3
IF7777;-;07.00;09.00;2;1,2
IF2222;-;09.00;10.00;1;1,3
IF0000;-;10.00;14.00;4;1,4
IF1111;-;14.00;15.00;1;1,5
IF8888;-;15.00;17.00;2;1,2,3,4
IF0000;-;17.00;18.00;1;1,2,3,4,5
IF7777;-;07.00;12.00;5;3,4,5
IF8888;-;12.00;15.00;3;3,1,2
IF7777;-;15.00;17.00;2;3,2,4
IF9999;-;17.00;18.00;1;3,4,5
